Files	Views	Series
culture_collection_zips/bmcc80_pfa_dna-tub-cetn_20231123_cl.ome.zarr.zip	bmcc80_pfa_dna-tub-cetn_20231123_cl_s00_deconv,bmcc80_pfa_dna-tub-cetn_20231123_cl_s01_deconv,bmcc80_pfa_dna-tub-cetn_20231123_cl_s02_deconv,bmcc80_pfa_dna-tub-cetn_20231123_cl_s03_deconv	1,3,5,7
culture_collection_zips/rcc3511rcc10719_pfa_dna-tub-nhs_20230731_csd_02.ome.zarr.zip	rcc3511rcc10719_pfa_dna-tub-nhs_20230731_csd_02	0
culture_collection_zips/bmcc745_hpf_nhs-cetn-tub-dna_20240307_fm_03.ome.zarr.zip	bmcc745_hpf_nhs-cetn-tub-dna_20240307_fm_03	0
culture_collection_zips/rcc10887_pfa_dna-cetn-tub-nhs_20240401_fm_01.ome.zarr.zip	rcc10887_pfa_dna-cetn-tub-nhs_20240401_fm_01	0
culture_collection_zips/tokyo_pfa_nhs-tub-cetn_20230717_fm_07.ome.zarr.zip	tokyo_pfa_nhs-tub-cetn_20230717_fm_07	0
culture_collection_zips/rcc6327_pfa_nhs-cetn-tub-dna_20240212_fm_02.ome.zarr.zip	rcc6327_pfa_nhs-cetn-tub-dna_20240212_fm_02	0
culture_collection_zips/rcc10642_pfa_tub_20240912_hs_10.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_10	0
culture_collection_zips/bmcc8_pfa_cetn_20240214_hs_06.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_06	0
culture_collection_zips/rcc3002_pfa_cetn-tub-dna_20252103_cl_04.ome.zarr.zip	rcc3002_pfa_cetn-tub-dna_20252103_cl_04	0
culture_collection_zips/bmcc692_hpf_nhs-cetn-tub-dna_20240307_fm_07.ome.zarr.zip	bmcc692_hpf_nhs-cetn-tub-dna_20240307_fm_07	0
culture_collection_zips/rcc1536_pfa_nhs-tub-dna_20230423_od.ome.zarr.zip	rcc1536_pfa_nhs-tub-dna_20230423_od_s00,rcc1536_pfa_nhs-tub-dna_20230423_od_s01,rcc1536_pfa_nhs-tub-dna_20230423_od_s02	0,1,2
culture_collection_zips/rcc999rcc2538_pfa_dna-tub-nhs_20230728_csd_01.ome.zarr.zip	rcc999rcc2538_pfa_dna-tub-nhs_20230728_csd_01	0
culture_collection_zips/rcc10719_pfa_polye-tub-nhs_20230905_hs_00.ome.zarr.zip	rcc10719_pfa_polye-tub-nhs_20230905_hs_00	0
culture_collection_zips/bmcc208_pfa_cetn-tub-dna_20231208_cl.ome.zarr.zip	bmcc208_pfa_cetn-tub-dna_20231208_cl_s00,bmcc208_pfa_cetn-tub-dna_20231208_cl_s01,bmcc208_pfa_cetn-tub-dna_20231208_cl_s02	0,1,2
culture_collection_zips/erariseta_pfa_tub-npc-dna_20230913_fm_10.ome.zarr.zip	erariseta_pfa_tub-npc-dna_20230913_fm_10	0
culture_collection_zips/rcc6675_pl_nhs_20250318_hs_04.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_04	0
culture_collection_zips/rcc10431_pfa_dna-cetn-tub-nhs_20240401_fm_27.ome.zarr.zip	rcc10431_pfa_dna-cetn-tub-nhs_20240401_fm_27	0
culture_collection_zips/rcc6675_pl_dna_20250318_hs_18.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_18	0
culture_collection_zips/rcc7000_pfa_dna-tub-cetn_20230522_cl_04.ome.zarr.zip	rcc7000_pfa_dna-tub-cetn_20230522_cl_04	0
culture_collection_zips/rcc10642_pfa_tub_20240912_hs_14.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_14	0
culture_collection_zips/rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_09.ome.zarr.zip	rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_09	0
culture_collection_zips/rcc6327_pfa_azo49_20240829_hs_05.ome.zarr.zip	rcc6327_pfa_azo49-tub_20240829_hs_05	0
culture_collection_zips/rcc7014_pfa_nhs-tub-dna_20230712_fm_01.ome.zarr.zip	rcc7014_pfa_nhs-tub-dna_20230712_fm_01	0
culture_collection_zips/rcc6675_pl_cetn_20250318_hs_02.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_02	0
culture_collection_zips/bmcc8_pfa_dna_20240214_hs_04.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_04	0
culture_collection_zips/rcc1522_pfa_cetn-tub-dna_20230724_cl.ome.zarr.zip	rcc1522_pfa_cetn-tub-dna_20230724_cl_s00,rcc1522_pfa_cetn-tub-dna_20230724_cl_s01,rcc1522_pfa_cetn-tub-dna_20230724_cl_s02,rcc1522_pfa_cetn-tub-dna_20230724_cl_s03,rcc1522_pfa_cetn-tub-dna_20230724_cl_s04,rcc1522_pfa_cetn-tub-dna_20230724_cl_s05,rcc1522_pfa_cetn-tub-dna_20230724_cl_s06,rcc1522_pfa_cetn-tub-dna_20230724_cl_s07,rcc1522_pfa_cetn-tub-dna_20230724_cl_s08,rcc1522_pfa_cetn-tub-dna_20230724_cl_s09,rcc1522_pfa_cetn-tub-dna_20230724_cl_s10,rcc1522_pfa_cetn-tub-dna_20230724_cl_s11,rcc1522_pfa_cetn-tub-dna_20230724_cl_s12,rcc1522_pfa_cetn-tub-dna_20230724_cl_s13,rcc1522_pfa_cetn-tub-dna_20230724_cl_s14,rcc1522_pfa_cetn-tub-dna_20230724_cl_s15	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
culture_collection_zips/rcc1216_pfa_dna-tub-nhs_20230423_od.ome.zarr.zip	rcc1216_pfa_dna-tub-nhs_20230423_od_s00,rcc1216_pfa_dna-tub-nhs_20230423_od_s01,rcc1216_pfa_dna-tub-nhs_20230423_od_s02	0,1,2
culture_collection_zips/bmcc183_hpf_nhs-cetn-tub-dna_20240229_fm_02.ome.zarr.zip	bmcc183_hpf_nhs-cetn-tub-dna_20240229_fm_02	0
culture_collection_zips/bmcc8_pfa_tub_20240214_hs_04.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_04	0
culture_collection_zips/bmcc33_pfa_nhs_20240212_hs_01.ome.zarr.zip	bmcc33_pfa_cetn-dna-nhs-tub_20240212_hs_01	0
culture_collection_zips/rcc3691_pfa_dna-tub-nhs_20230616_od.ome.zarr.zip	rcc3691_pfa_dna-tub-nhs_20230616_od_s00,rcc3691_pfa_dna-tub-nhs_20230616_od_s01,rcc3691_pfa_dna-tub-nhs_20230616_od_s02	0,1,2
culture_collection_zips/rcc10669_pfa_cetn-tub-dna_20230803_cl.ome.zarr.zip	rcc10669_pfa_cetn-tub-dna_20230803_cl_s00,rcc10669_pfa_cetn-tub-dna_20230803_cl_s01,rcc10669_pfa_cetn-tub-dna_20230803_cl_s02,rcc10669_pfa_cetn-tub-dna_20230803_cl_s03,rcc10669_pfa_cetn-tub-dna_20230803_cl_s04,rcc10669_pfa_cetn-tub-dna_20230803_cl_s05	0,1,2,3,4,5
culture_collection_zips/erariseta_pfa_tub-npc-dna_20230913_fm_07.ome.zarr.zip	erariseta_pfa_tub-npc-dna_20230913_fm_07	0
culture_collection_zips/rcc10719_pfa_dna-glypep1-tub-nhs_20230830_hs_02.ome.zarr.zip	rcc10719_pfa_dna-glypep1-tub-nhs_20230830_hs_02	0
culture_collection_zips/bmcc4_pfa_cetn_20240214_hs_01.ome.zarr.zip	bmcc4_pfa_cetn-dna-nhs-tub_20240214_hs_01	0
culture_collection_zips/rcc6327_pfa_glypep1_20240829_hs_02.ome.zarr.zip	rcc6327_pfa_glypep1-tub_20240829_hs_02	0
culture_collection_zips/rcc10642_pfa_bod_20240912_hs_01.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_01	0
culture_collection_zips/bmcc16_pfa_nhs_20240213_hs_05.ome.zarr.zip	bmcc16_pfa_cetn-dna-nhs-tub_20240213_hs_05	0
culture_collection_zips/bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_01.ome.zarr.zip	bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_01_s00,bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_01_s01,bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_01_s02	0,1,2
culture_collection_zips/erariseta_pfa_tub-tubsted-npc-npcsted_20230906_fm.ome.zarr.zip	erariseta_pfa_npcsted_20230906_fm_s00,erariseta_pfa_tub-tubsted-npc-npcsted_20230906_fm_s01,erariseta_pfa_tub-tubsted-npc-npcsted_20230906_fm_s02	0,1,2
culture_collection_zips/erariseta_pfa_tub-npc-dna_20230913_fm_05.ome.zarr.zip	erariseta_pfa_tub-npc-dna_20230913_fm_05	0
culture_collection_zips/bmcc16_pfa_cetn_20240213_hs_05.ome.zarr.zip	bmcc16_pfa_cetn-dna-nhs-tub_20240213_hs_05	0
culture_collection_zips/rcc10642_pfa_tub_20240912_hs_01.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_01	0
culture_collection_zips/bmcc67_pfa_nhs-cetn-tub-dna_20240205_fm_15.ome.zarr.zip	bmcc67_pfa_nhs-cetn-tub-dna_20240205_fm_15	0
culture_collection_zips/bmcc8_pfa_dna_20240214_hs_02.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_02	0
culture_collection_zips/rcc10738_pfa_dna-tub-nhs_20230616_od.ome.zarr.zip	rcc10738_pfa_dna-tub-nhs_20230616_od_s00,rcc10738_pfa_dna-tub-nhs_20230616_od_s01,rcc10738_pfa_dna-tub-nhs_20230616_od_s02	0,1,2
culture_collection_zips/bmcc680_pfa_dna-tub-cetn_20240521_cl.ome.zarr.zip	bmcc680_pfa_dna-tub-cetn_20240521_cl_s00,bmcc680_pfa_dna-tub-cetn_20240521_cl_s01,bmcc680_pfa_dna-tub-cetn_20240521_cl_s02,bmcc680_pfa_dna-tub-cetn_20240521_cl_s03	0,1,2,3
culture_collection_zips/bmcc8_pfa_nhs_20240214_hs_05.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_05	0
culture_collection_zips/bmcc183_hpf_nhs-cetn-tub-dna_20240229_fm_07.ome.zarr.zip	bmcc183_hpf_nhs-cetn-tub-dna_20240229_fm_07	0
culture_collection_zips/bmcc67_pfa_nhs-cetn-tub-dna_20240205_fm_18.ome.zarr.zip	bmcc67_pfa_nhs-cetn-tub-dna_20240205_fm_18	0
culture_collection_zips/rcc10719_pfa_dna-tuba1monoe-tub-nhs_20230830_hs_02.ome.zarr.zip	rcc10719_pfa_dna-tuba1monoe-tub-nhs_20230830_hs_02	0
culture_collection_zips/rcc6675_pl_tub_20250318_hs_16.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_16	0
culture_collection_zips/vf21108_pfa_tub-cetn-dna_20251803_cl_01.ome.zarr.zip	vf21108_pfa_tub-cetn-dna_20251803_cl_01	0
culture_collection_zips/rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl.ome.zarr.zip	rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s00,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s00_deconv,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s01,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s01_deconv,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s02,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s02_deconv,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s03,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s03_deconv,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s04,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s04_deconv,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s05,rcc10426_pfa_dna-tub-cetn-nhs_20240425_cl_s05_deconv	0,1,2,3,4,5,6,7,8,9,10,11
culture_collection_zips/rcc3374_pfa_cetn-tub-dna_20230704_cl.ome.zarr.zip	rcc3374_pfa_cetn-tub-dna_20230704_cl_s00,rcc3374_pfa_cetn-tub-dna_20230704_cl_s01	0,1
culture_collection_zips/bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_01.ome.zarr.zip	bmcc746_pfa_nhs-cetn-tub-dna_20240205_fm_01	0
culture_collection_zips/rcc5249_pfa_cetn-tub-dna_20230718_cl.ome.zarr.zip	rcc5249_pfa_cetn-tub-dna_20230718_cl_s00,rcc5249_pfa_cetn-tub-dna_20230718_cl_s01,rcc5249_pfa_cetn-tub-dna_20230718_cl_s02,rcc5249_pfa_cetn-tub-dna_20230718_cl_s03,rcc5249_pfa_cetn-tub-dna_20230718_cl_s04,rcc5249_pfa_cetn-tub-dna_20230718_cl_s05,rcc5249_pfa_cetn-tub-dna_20230718_cl_s06,rcc5249_pfa_cetn-tub-dna_20230718_cl_s07	0,1,2,3,4,5,6,7
culture_collection_zips/tokyo_pl_nhs-tub-act-dna_20230717_fm_02.ome.zarr.zip	tokyo_pl_nhs-tub-act-dna_20230717_fm_02	0
culture_collection_zips/rcc6327_pfa_tub_20240829_hs_06.ome.zarr.zip	rcc6327_pfa_azo49-tub_20240829_hs_06	0
culture_collection_zips/rcc3511rcc10719_pfa_dna-tub-nhs_20230728_csd_03.ome.zarr.zip	rcc3511rcc10719_pfa_dna-tub-nhs_20230728_csd_03	0
culture_collection_zips/rcc6675_pl_cetn_20250318_hs_06.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_06	0
culture_collection_zips/rcc10388_pfa_nhs-tub-cetn-dna_20231121_fm_20.ome.zarr.zip	rcc10388_pfa_nhs-tub-cetn-dna_20231121_fm_20	0
culture_collection_zips/rcc6675_pl_tub_20250318_hs_08.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_08	0
culture_collection_zips/bmcc868_pfa_tub_20240213_hs_02.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240213_hs_02	0
culture_collection_zips/rcc6675_pfa_tub_20250314_hs_04.ome.zarr.zip	rcc6675_pfa_cetn-dna-nhs-tub_20250314_hs_04	0
culture_collection_zips/rcc6675_pl_dna_20250318_hs_06.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_06	0
culture_collection_zips/c1975_pfa_tub-cetn-dna_20251803_cl_03.ome.zarr.zip	c1975_pfa_tub-cetn-dna_20251803_cl_03	0
culture_collection_zips/tokyo_pfa_nhs-tub-cetn-dna_20230621_fm_01.ome.zarr.zip	tokyo_pfa_nhs-tub-cetn-dna_20230621_fm_01	0
culture_collection_zips/tokyo_pl_nhs-tub-act-dna_20230717_fm_05.ome.zarr.zip	tokyo_pl_nhs-tub-act-dna_20230717_fm_05	0
culture_collection_zips/c1975_pfa_dna-tub-cetn_20252003_cl_02.ome.zarr.zip	c1975_pfa_dna-tub-cetn_20252003_cl_02	0
culture_collection_zips/rcc10719_pfa_dna-tuba1monoe-tub-nhs_20230830_hs_04.ome.zarr.zip	rcc10719_pfa_dna-tuba1monoe-tub-nhs_20230830_hs_04	0
culture_collection_zips/tokyo_pfa_act-tub-bod-dna_20230629_fm_04.ome.zarr.zip	tokyo_pfa_act-tub-bod-dna_20230629_fm_04	0
culture_collection_zips/rcc10642_pfa_dna_20240912_hs_04.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_04	0
culture_collection_zips/rcc3536_pfa_dna-tub-nhs-na_20230718_csd_01.ome.zarr.zip	rcc3536_pfa_dna-tub-nhs-na_20230718_csd_01	0
culture_collection_zips/rcc6257_pfa_dna-tub-nhs_20230817_csd_03.ome.zarr.zip	rcc6257_pfa_dna-tub-nhs_20230817_csd_03	0
culture_collection_zips/bmcc4_pfa_dna_20240214_hs_11.ome.zarr.zip	bmcc4_pfa_cetn-dna-nhs-tub_20240214_hs_11	0
culture_collection_zips/tokyo_pfa_nhs-tub-cetn-dna_20230625_fm_04.ome.zarr.zip	tokyo_pfa_nhs-tub-cetn-dna_20230625_fm_04	0
culture_collection_zips/bmcc8_pfa_tub_20240214_hs_03.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_03	0
culture_collection_zips/rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_18.ome.zarr.zip	rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_18	0
culture_collection_zips/rcc6387_pfa_dna-tub-nhs-na_20230718_csd_03.ome.zarr.zip	rcc6387_pfa_dna-tub-nhs-na_20230718_csd_03	0
culture_collection_zips/bmcc868_pfa_tub_20240213_hs_05.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240213_hs_05	0
culture_collection_zips/rcc10642_pfa_bod_20240912_hs_02.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_02	0
culture_collection_zips/rcc10719_pfa_dna-tub-nhs_20230802_od.ome.zarr.zip	rcc10719_pfa_dna-tub-nhs_20230802_od_s00,rcc10719_pfa_dna-tub-nhs_20230802_od_s01,rcc10719_pfa_dna-tub-nhs_20230802_od_s02,rcc10719_pfa_dna-tub-nhs_20230802_od_s03,rcc10719_pfa_dna-tub-nhs_20230802_od_s04	0,1,2,3,4
culture_collection_zips/bmcc868_pfa_tub_20240222_hs_05.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240222_hs_05	0
culture_collection_zips/bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_04.ome.zarr.zip	bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_04_s00,bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_04_s02,bmcc85_pfa_dna-cetn-nhs-tub_20240216_od_04_s03	0,2,3
culture_collection_zips/rcc6323_pfa_tub-cetn-dna-nhs_20240215_cl_02.ome.zarr.zip	rcc6323_pfa_tub-cetn-dna-nhs_20240215_cl_02_s00_deconv	1
culture_collection_zips/erariseta_pfa_nhs-dna_20230831_fm_01.ome.zarr.zip	erariseta_pfa_nhs-dna_20230831_fm_01	0
culture_collection_zips/rcc10777_pfa_dna-nhs-tub_20230705_cl_01.ome.zarr.zip	rcc10777_pfa_dna-nhs-tub_20230705_cl_01	0
culture_collection_zips/rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_01.ome.zarr.zip	rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_01	0
culture_collection_zips/tokyo_pfa_nhs-tub-cetn-dna_20230621_fm_07.ome.zarr.zip	tokyo_pfa_nhs-tub-cetn-dna_20230621_fm_07	0
culture_collection_zips/bmcc183_hpf_nhs-cetn-tub-dna_20240307_fm_12.ome.zarr.zip	bmcc183_hpf_nhs-cetn-tub-dna_20240307_fm_12	0
culture_collection_zips/rcc10719_pfa_azo49-tub-nhs_20230905_hs_03.ome.zarr.zip	rcc10719_pfa_azo49-tub-nhs_20230905_hs_03	0
culture_collection_zips/rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_16.ome.zarr.zip	rcc6327_pfa_dna-tub-cetn-nhs_20240212_fm_16	0
culture_collection_zips/c1975_pfa_dna-tub-cetn_20252003_cl_01.ome.zarr.zip	c1975_pfa_dna-tub-cetn_20252003_cl_01	0
culture_collection_zips/rcc10642_pfa_nhs_20240912_hs_11.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_11	0
culture_collection_zips/tokyo_pfa_tub-bod-dna_20230824_fm_08.ome.zarr.zip	tokyo_pfa_tub-bod-dna_20230824_fm_08	0
culture_collection_zips/rcc3656_pfa_cetn-tub-dna_20231018_cl.ome.zarr.zip	rcc3656_pfa_cetn-tub-dna_20231018_cl_s00,rcc3656_pfa_cetn-tub-dna_20231018_cl_s01,rcc3656_pfa_cetn-tub-dna_20231018_cl_s02,rcc3656_pfa_cetn-tub-dna_20231018_cl_s03	0,1,2,3
culture_collection_zips/rcc10646_pfa_dna-tub-nhs_20230802_od.ome.zarr.zip	rcc10646_pfa_dna-tub-nhs_20230802_od_s00,rcc10646_pfa_dna-tub-nhs_20230802_od_s01,rcc10646_pfa_dna-tub-nhs_20230802_od_s02,rcc10646_pfa_dna-tub-nhs_20230802_od_s03	0,1,2,3
culture_collection_zips/rcc5610rcc6123_pfa_nhs-tub-dna_20230424_fm_02.ome.zarr.zip	rcc5610rcc6123_pfa_nhs-tub-dna_20230424_fm_02	0
culture_collection_zips/rcc6675_pl_nhs_20250318_hs_21.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_21	0
culture_collection_zips/bmcc868_pfa_cetn_20240213_hs_03.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240213_hs_03	0
culture_collection_zips/bmcc868_pfa_cetn_20240213_hs_07.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240213_hs_07	0
culture_collection_zips/rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl.ome.zarr.zip	rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s00,rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s00_deconv,rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s01,rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s01_deconv,rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s02,rcc6171_pfa_dna-tub-cetn-nhs_20240425_cl_s02_deconv	0,1,2,3,4,5
