original_name	new_name_iter1	missing_values
20231201_bmcc147n_pfa_hoechst-tub-centr_series00	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series01	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series02	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series03	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series04	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series05	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series06	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series07	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series08	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	cl
20231201_bmcc147n_pfa_hoechst-tub-centr_series09	bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s09	cl
20240117_bmcc298_pfa_centr-tub-hoechst_series00	bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s00	cl
20240117_bmcc298_pfa_centr-tub-hoechst_series01	bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s01	cl
20240117_bmcc298_pfa_centr-tub-hoechst_series02	bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s02	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series00	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series01	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series02	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series03	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series04	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series05	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series06	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series07	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	cl
20231201_bmcc127_pfa_hoechst-tub-centr_series08	bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series00	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s00	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series01	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s01	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series02	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s02	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series03	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s03	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series04	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s04	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series05	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s05	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series06	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s06	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series07	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s07	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series08	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s08	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series09	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s09	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series10	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s10	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series11	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s11	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series12	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s12	cl
20230817_rcc2339_pfa_hoechst-nhs-tub_series13	rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s13	cl
20240604_rcc4656-pfa_centr-tub-hoechst_series00	rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	cl
20240604_rcc4656-pfa_centr-tub-hoechst_series01	rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	cl
20240604_rcc4656-pfa_centr-tub-hoechst_series02	rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	cl
20231025_rccst10-12_pfa_centr-tub-hoechst	rcc10822_pfa_cetn-tub-dna_20231025_MISSINGNAME	cl
20231025_rccsd12-6_pfa_centr-tub-hoechst_series00	rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s00	cl
20231025_rccsd12-6_pfa_centr-tub-hoechst_series01	rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s01	cl
20231025_rccsd12-6_pfa_centr-tub-hoechst_series02	rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s02	cl
20230523_RCC_856_pfa_OD_nhs-tub-Hoechst	rcc856_pfa_nhs-tub-dna_20230523_od	-
20240604_rcc998-pfa_centr-tub-hoechst_series00	rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	cl
20240604_rcc998-pfa_centr-tub-hoechst_series01	rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	cl
20240604_rcc998-pfa_centr-tub-hoechst_series02	rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	cl
20240604_rcc998-pfa_centr-tub-hoechst_series03	rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s03	cl
20240604_rcc998-pfa_centr-tub-hoechst_series04	rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s04	cl
20230626_rcc33741_pfa_tub-hoechst-nhs_series00	rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s00	cl
20230626_rcc33741_pfa_tub-hoechst-nhs_series01	rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s01	cl
20230626_rcc33741_pfa_tub-hoechst-nhs_series02	rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s02	cl
20230626_rcc33741_pfa_tub-hoechst-nhs_series03	rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s03	cl
20230704_rcc3374_pfa_centr-tub-hoechst_series00	rcc3374_pfa_cetn-tub-dna_20230704_MISSINGNAME_s00	cl
20230704_rcc3374_pfa_centr-tub-hoechst_series01	rcc3374_pfa_cetn-tub-dna_20230704_MISSINGNAME_s01	cl
20240604_rcc3374-pfa_centr-tub-hoechst_series00	rcc3374_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	cl
20240604_rcc3374-pfa_centr-tub-hoechst_series01	rcc3374_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	cl
20230423_RCC_15_pfa_OD_nhs-tub-Hoechst	rcc15_pfa_nhs-tub-dna_20230423_od	
20230616_RCC_1871_pfa_OD_Hoechst-tub-nhs_series00	rcc1871_pfa_dna-tub-nhs_20230616_od_s00	
20230616_RCC_1871_pfa_OD_Hoechst-tub-nhs_series01	rcc1871_pfa_dna-tub-nhs_20230616_od_s01	
20230616_RCC_4434_pfa_OD_Hoechst-tub-nhs_series00	rcc4434_pfa_dna-tub-nhs_20230616_od_s00	
20230616_RCC_4434_pfa_OD_Hoechst-tub-nhs_series01	rcc4434_pfa_dna-tub-nhs_20230616_od_s01	
20240216_BMCC_449_pfa_OD_Hoechst-centr-nhs-tub_series00	bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s00	
20240216_BMCC_449_pfa_OD_Hoechst-centr-nhs-tub_series01	bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s01	
2024-02-05_bmcc686_fm_nhs_centrin_tubulin_hoechst-dapi_001	bmcc686_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_001	pfa
2024-02-05_bmcc686_fm_nhs_centrin_tubulin_hoechst-dapi_002	bmcc686_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_002	pfa
20240111_bmcc469_pfa_hoechst-tub-centr_series00	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s00	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series01	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s01	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series02	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s02	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series03	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s03	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series04	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s04	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series05	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s05	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series06	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s06	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series07	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s07	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series08	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s08	cl
20240111_bmcc469_pfa_hoechst-tub-centr_series09	bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s09	cl
20240118_bmcc598_pfa_centr-tub-hoechst_series00	bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s00	cl
20240118_bmcc598_pfa_centr-tub-hoechst_series01	bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s01	cl
20240118_bmcc598_pfa_centr-tub-hoechst_series02	bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s02	cl
20240118_bmcc598_pfa_centr-tub-hoechst_series03	bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s03	cl
20240118_bmcc598_pfa_centr-tub-hoechst_series04	bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s04	cl
20240119_BMCC_606_pfa_OD_Hoechst-centr-nhs-tub_series00	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s00	
20240119_BMCC_606_pfa_OD_Hoechst-centr-nhs-tub_series01	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s01	
20240119_BMCC_606_pfa_OD_Hoechst-centr-nhs-tub_series02	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s02	
20240119_BMCC_606_pfa_OD_Hoechst-centr-nhs-tub_series03	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s03	
20240119_BMCC_606_pfa_OD_Hoechst-centr-nhs-tub_series04	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s04	
20230423_RCC_6369_pfa_OD_nhs-tub-Hoechst_series00	rcc6369_pfa_nhs-tub-dna_20230423_od_s00	
20230423_RCC_6369_pfa_OD_nhs-tub-Hoechst_series01	rcc6369_pfa_nhs-tub-dna_20230423_od_s01	
20230423_RCC_6369_pfa_OD_nhs-tub-Hoechst_series02	rcc6369_pfa_nhs-tub-dna_20230423_od_s02	
20240216_BMCC_640_pfa_OD_Hoechst-centr-nhs-tub_series00	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s00	
20240216_BMCC_640_pfa_OD_Hoechst-centr-nhs-tub_series01	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s01	
20240216_BMCC_640_pfa_OD_Hoechst-centr-nhs-tub_series02	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s02	
20240216_BMCC_640_pfa_OD_Hoechst-centr-nhs-tub_series03	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s03	
20240521_bmcc308_pfa_centr-tub-hoechst_series00	bmcc308_pfa_cetn-tub-dna_20240521_MISSINGNAME_s00	cl
20240521_bmcc308_pfa_centr-tub-hoechst_series01	bmcc308_pfa_cetn-tub-dna_20240521_MISSINGNAME_s01	cl
20240521_bmcc308_pfa_centr-tub-hoechst_series02	bmcc308_pfa_cetn-tub-dna_20240521_MISSINGNAME_s02	cl
2024-02-05_bmcc492_fm_nhs_centrin_tubulin_hoechst-dapi_001	bmcc492_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_001	pfa
2024-02-05_bmcc492_fm_nhs_centrin_tubulin_hoechst-dapi_002	bmcc492_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_002	pfa
2024-02-05_bmcc492_fm_nhs_centrin_tubulin_hoechst-dapi_003	bmcc492_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_003	pfa
2024-02-05_bmcc492_fm_nhs_centrin_tubulin_hoechst-dapi_004	bmcc492_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_004	pfa
20240521_bmcc673_pfa_hoechst-tub-centr	bmcc673_pfa_dna-tub-cetn_20240521_MISSINGNAME	cl
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_001	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_001	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_002	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_002	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_003	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_003	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_004	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_004	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_005	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_005	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_006	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_006	hpf
20240220_bmcc745_FM-nhs-centr-tub-hoechst-60x_007	bmcc745_MISSINGFIX_nhs-cetn-tub-dna_20240220_fm_007	hpf
20240229_bmcc745-hpf_fm_NHS_cent_tub_DNA_60x_001	bmcc745_hpf_nhs-cetn-tub-dna_20240229_fm_001	
20240229_bmcc745-hpf_fm_NHS_cent_tub_DNA_60x_002	bmcc745_hpf_nhs-cetn-tub-dna_20240229_fm_002	
20240307_bmcc745_fm_hpf_nhs_cent_tub_dna_60x4x_001	bmcc745_hpf_nhs-cetn-tub-dna_20240307_fm_001	
20240307_bmcc745_fm_hpf_nhs_cent_tub_dna_60x4x_002	bmcc745_hpf_nhs-cetn-tub-dna_20240307_fm_002	
20240307_bmcc745_fm_hpf_nhs_cent_tub_dna_60x4x_003	bmcc745_hpf_nhs-cetn-tub-dna_20240307_fm_003	
20231018_rcc6674_pfa_centr-tub-hoechst_series00	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s00	cl
20231018_rcc6674_pfa_centr-tub-hoechst_series01	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s01	cl
20231018_rcc6674_pfa_centr-tub-hoechst_series02	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s02	cl
20231018_rcc6674_pfa_centr-tub-hoechst_series03	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s03_TOOMANYCHANNELS	cl,cetn-tub
20231018_rcc6674_pfa_centr-tub-hoechst_series04	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s04	cl
20231018_rcc6674_pfa_centr-tub-hoechst_series05	rcc6674_pfa_cetn-tub-dna_20231018_MISSINGNAME_s05	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series00	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series01	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series02	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series03	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series04	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series05	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series06	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series07	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series08	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series09	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s09	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series10	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s10	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series11	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s11	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series12	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s12	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series13	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s13	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series14	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s14	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series15	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s15	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series16	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s16	cl
20231201_bmcc124_pfa_hoechst-tub-centr_series17	bmcc124_pfa_dna-tub-cetn_20231201_MISSINGNAME_s17	cl
20231018_rccc511_pfa_centr-tub-hoechst_series00	rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s00	cl
20231018_rccc511_pfa_centr-tub-hoechst_series01	rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s01	cl
20231018_rccc511_pfa_centr-tub-hoechst_series02	rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s02	cl
20231018_rccc511_pfa_centr-tub-hoechst_series03	rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s03	cl
20231018_rccc511_pfa_centr-tub-hoechst_series04	rcc10708_pfa_cetn-tub-dna_20231018_MISSINGNAME_s04	cl
20230423_RCC_417_pfa_OD_nhs-tub-Hoechst_series00	rcc417_pfa_nhs-tub-dna_20230423_od_s00	
20230423_RCC_417_pfa_OD_nhs-tub-Hoechst_series01	rcc417_pfa_nhs-tub-dna_20230423_od_s01	
20240209_RCC_417_pfa_OD_Hoechst-centr-nhs-tub_series00	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s00	
20240209_RCC_417_pfa_OD_Hoechst-centr-nhs-tub_series01	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s01	
20240209_RCC_417_pfa_OD_Hoechst-centr-nhs-tub_series02	rcc417_pfa_dna-cetn-nhs-tub_20240209_od_s02	
20240521_bmcc691_pfa_hoechst-tub-centr_series00	bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s00	cl
20240521_bmcc691_pfa_hoechst-tub-centr_series01	bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s01	cl
20240521_bmcc691_pfa_hoechst-tub-centr_series02	bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s02	cl
20240521_bmcc691_pfa_hoechst-tub-centr_series03	bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s03	cl
20240521_bmcc691_pfa_hoechst-tub-centr_series04	bmcc691_pfa_dna-tub-cetn_20240521_MISSINGNAME_s04	cl
2024-02-05_bmcc746_fm_nhs_centrin_tubulin_hoechst-dapi_001	bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_001	pfa
2024-02-05_bmcc746_fm_nhs_centrin_tubulin_hoechst-dapi_002	bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_002	pfa
2024-02-05_bmcc746_fm_nhs_centrin_tubulin_hoechst-dapi_003	bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_003	pfa
2024-02-05_bmcc746_fm_nhs_centrin_tubulin_hoechst-dapi_004	bmcc746_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_004	pfa
20230721_rcc6684_pfa_nhs-tub-hoechst_series00	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s00	cl
20230721_rcc6684_pfa_nhs-tub-hoechst_series01	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s01	cl
20230721_rcc6684_pfa_nhs-tub-hoechst_series02	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s02	cl
20230721_rcc6684_pfa_nhs-tub-hoechst_series03	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s03	cl
20230721_rcc6684_pfa_nhs-tub-hoechst_series04	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s04	cl
20230721_rcc6684_pfa_nhs-tub-hoechst_series05	rcc6684_pfa_nhs-tub-dna_20230721_MISSINGNAME_s05	cl
20240425_rcc6684_pfa_hoechst-tub-centr-nhs_series00	rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s00	cl
20240425_rcc6684_pfa_hoechst-tub-centr-nhs_series01	rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s01	cl
20240425_rcc6684_pfa_hoechst-tub-centr-nhs_series02	rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s02	cl
20240425_rcc6684_pfa_hoechst-tub-centr-nhs_series03	rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s03	cl
20240425_rcc6684_pfa_hoechst-tub-centr-nhs_series04	rcc6684_pfa_dna-tub-cetn-nhs_20240425_MISSINGNAME_s04	cl
